date,ticker,company,sector,open,high,low,close,volume,market_cap_b,pe_ratio,dividend_yield
2024-01-02,AAPL,Apple,Technology,185.50,187.20,184.80,186.90,52000000,2950,28.5,0.55
2024-01-02,MSFT,Microsoft,Technology,372.00,375.50,370.20,374.80,28000000,2780,35.2,0.72
2024-01-02,GOOGL,Alphabet,Technology,139.50,141.20,138.90,140.80,25000000,1760,24.8,0.00
2024-01-02,AMZN,Amazon,Consumer,151.20,153.80,150.50,153.10,45000000,1590,62.3,0.00
2024-01-02,JPM,JPMorgan,Financials,168.50,170.20,167.80,169.90,12000000,490,11.2,2.45
2024-01-02,JNJ,Johnson & Johnson,Healthcare,155.80,157.10,155.20,156.50,8000000,375,15.8,3.02
2024-01-02,XOM,ExxonMobil,Energy,99.20,100.80,98.50,100.10,15000000,400,12.5,3.65
2024-01-02,PG,Procter & Gamble,Consumer Staples,148.50,149.80,147.90,149.20,6000000,352,25.1,2.48
2024-01-09,AAPL,Apple,Technology,187.20,189.50,186.50,188.80,48000000,2980,28.8,0.55
2024-01-09,MSFT,Microsoft,Technology,375.00,378.20,374.10,377.50,26000000,2800,35.5,0.72
2024-01-09,GOOGL,Alphabet,Technology,141.00,143.50,140.50,142.90,23000000,1790,25.1,0.00
2024-01-09,AMZN,Amazon,Consumer,153.50,156.20,152.80,155.80,42000000,1620,63.5,0.00
2024-01-09,JPM,JPMorgan,Financials,170.00,172.50,169.20,171.80,11000000,498,11.4,2.42
2024-01-09,JNJ,Johnson & Johnson,Healthcare,156.20,158.00,155.80,157.50,7500000,378,15.9,3.00
2024-01-09,XOM,ExxonMobil,Energy,100.50,102.20,99.80,101.80,14000000,406,12.7,3.60
2024-01-09,PG,Procter & Gamble,Consumer Staples,149.50,151.00,149.00,150.50,5800000,355,25.3,2.46
2024-01-16,AAPL,Apple,Technology,189.00,191.80,188.20,191.20,55000000,3020,29.2,0.54
2024-01-16,MSFT,Microsoft,Technology,378.00,382.50,377.00,381.20,30000000,2830,36.0,0.71
2024-01-16,GOOGL,Alphabet,Technology,143.20,145.80,142.50,145.10,27000000,1820,25.5,0.00
2024-01-16,AMZN,Amazon,Consumer,156.00,159.50,155.20,158.90,48000000,1650,64.8,0.00
2024-01-16,JPM,JPMorgan,Financials,172.00,174.80,171.50,174.20,13000000,505,11.6,2.38
2024-01-16,JNJ,Johnson & Johnson,Healthcare,157.80,159.50,157.00,158.90,8200000,382,16.1,2.98
2024-01-16,XOM,ExxonMobil,Energy,102.00,103.50,101.20,103.00,16000000,412,12.9,3.55
2024-01-16,PG,Procter & Gamble,Consumer Staples,150.80,152.50,150.20,152.00,6200000,358,25.6,2.44
2024-01-23,AAPL,Apple,Technology,191.50,193.20,190.00,192.80,50000000,3050,29.5,0.54
2024-01-23,MSFT,Microsoft,Technology,381.50,385.00,380.50,384.20,28000000,2860,36.3,0.70
2024-01-23,GOOGL,Alphabet,Technology,145.50,148.20,145.00,147.80,26000000,1850,26.0,0.00
2024-01-23,AMZN,Amazon,Consumer,159.20,162.00,158.50,161.50,46000000,1680,65.9,0.00
2024-01-23,JPM,JPMorgan,Financials,174.50,176.80,173.80,176.20,12500000,512,11.8,2.35
2024-01-23,JNJ,Johnson & Johnson,Healthcare,159.00,160.50,158.20,160.00,7800000,385,16.2,2.96
2024-01-23,XOM,ExxonMobil,Energy,103.20,105.00,102.50,104.50,15500000,418,13.1,3.50
2024-01-23,PG,Procter & Gamble,Consumer Staples,152.20,153.80,151.50,153.20,6000000,361,25.8,2.42
2024-01-30,AAPL,Apple,Technology,193.00,195.50,192.20,194.80,53000000,3080,29.8,0.53
2024-01-30,MSFT,Microsoft,Technology,384.50,388.00,383.50,387.00,31000000,2880,36.6,0.70
2024-01-30,GOOGL,Alphabet,Technology,148.00,150.50,147.20,149.80,28000000,1880,26.4,0.00
2024-01-30,AMZN,Amazon,Consumer,161.80,164.50,161.00,163.80,44000000,1700,66.8,0.00
2024-01-30,JPM,JPMorgan,Financials,176.50,178.80,175.80,178.00,13000000,518,11.9,2.33
2024-01-30,JNJ,Johnson & Johnson,Healthcare,160.20,162.00,159.50,161.50,8000000,388,16.4,2.94
2024-01-30,XOM,ExxonMobil,Energy,104.80,106.50,104.00,106.00,16000000,424,13.3,3.45
2024-01-30,PG,Procter & Gamble,Consumer Staples,153.50,155.00,153.00,154.50,6500000,364,26.0,2.40
